rxn_ind,file,force_rms_Ha_per_Bohr,is_ts,neg_count,force_ok,ts_force_ok
rxn1476,rxn1476_ts_opt.xyz,0.0011019002361912073,True,1,True,True
rxn1488,rxn1488_ts_opt.xyz,0.0006694043694256773,True,1,True,True
rxn148,rxn148_ts_opt.xyz,0.001036863887467963,True,1,True,True
rxn1493,rxn1493_ts_opt.xyz,0.0007842889398416478,True,1,True,True
rxn1498,rxn1498_ts_opt.xyz,0.0005065544776792811,True,1,True,True
rxn1509,rxn1509_ts_opt.xyz,0.0005814866498737971,True,1,True,True
rxn1523,rxn1523_ts_opt.xyz,0.0006031598115322328,True,1,True,True
rxn1590,rxn1590_ts_opt.xyz,0.00040678466926209067,True,1,True,True
rxn1593,rxn1593_ts_opt.xyz,0.0002944666372610041,True,1,True,True
rxn1596,rxn1596_ts_opt.xyz,0.0007262352032113003,True,1,True,True
rxn160,rxn160_ts_opt.xyz,0.0007257442597199858,True,1,True,True
rxn1639,rxn1639_ts_opt.xyz,0.0005600497053499062,True,1,True,True
rxn1648,rxn1648_ts_opt.xyz,0.00032456594048842853,True,1,True,True
rxn1650,rxn1650_ts_opt.xyz,0.0007244157329901485,True,1,True,True
rxn1658,rxn1658_ts_opt.xyz,0.0005433399712094064,True,1,True,True
rxn170,rxn170_ts_opt.xyz,0.0006186673220946284,True,1,True,True
rxn1713,rxn1713_ts_opt.xyz,0.0004504164714022781,True,1,True,True
rxn1746,rxn1746_ts_opt.xyz,0.0009453747614806127,True,1,True,True
rxn1749,rxn1749_ts_opt.xyz,0.0011641273546770924,True,1,True,True
rxn1758,rxn1758_ts_opt.xyz,0.000598793465850369,True,1,True,True
rxn1770,rxn1770_ts_opt.xyz,0.0015446376850489132,True,1,True,True
rxn1772,rxn1772_ts_opt.xyz,0.000278259330397685,True,1,True,True
rxn1783,rxn1783_ts_opt.xyz,0.0019683089105680673,True,1,True,True
rxn1795,rxn1795_ts_opt.xyz,0.00045124282309527854,True,1,True,True
rxn1800,rxn1800_ts_opt.xyz,0.00041574333551364133,True,1,True,True
rxn1810,rxn1810_ts_opt.xyz,0.0003497795665653618,True,1,True,True
rxn1813,rxn1813_ts_opt.xyz,0.000389362541348438,True,1,True,True
rxn1816,rxn1816_ts_opt.xyz,0.0007330497205552238,True,1,True,True
rxn1836,rxn1836_ts_opt.xyz,0.00045991846191300787,True,1,True,True
rxn1846,rxn1846_ts_opt.xyz,0.01899762762598441,True,1,False,False
rxn1847,rxn1847_ts_opt.xyz,0.000565323169371315,True,1,True,True
rxn1875,rxn1875_ts_opt.xyz,0.00042954445907466095,True,1,True,True
rxn1880,rxn1880_ts_opt.xyz,0.001077820824485687,True,1,True,True
rxn1915,rxn1915_ts_opt.xyz,0.003206082854201179,True,1,False,False
rxn1922,rxn1922_ts_opt.xyz,0.0007568977619853199,True,1,True,True
rxn1946,rxn1946_ts_opt.xyz,0.0007633090640584801,True,1,True,True
rxn1976,rxn1976_ts_opt.xyz,0.0008411835623019122,True,1,True,True
rxn1983,rxn1983_ts_opt.xyz,0.0006952178666071725,True,1,True,True
rxn1984,rxn1984_ts_opt.xyz,0.0005234342061111323,True,1,True,True
rxn1991,rxn1991_ts_opt.xyz,0.0005343369168474537,True,1,True,True
rxn199,rxn199_ts_opt.xyz,0.003038753448067121,True,1,False,False
rxn2024,rxn2024_ts_opt.xyz,0.0010435642851088194,True,1,True,True
rxn2032,rxn2032_ts_opt.xyz,0.0005420325398949502,True,1,True,True
rxn2034,rxn2034_ts_opt.xyz,0.0010393007297769567,True,1,True,True
rxn2065,rxn2065_ts_opt.xyz,0.000919812825762421,True,1,True,True
rxn2073,rxn2073_ts_opt.xyz,0.0008874760452430914,True,1,True,True
rxn2088,rxn2088_ts_opt.xyz,0.0007645249585981008,True,1,True,True
rxn2104,rxn2104_ts_opt.xyz,0.0017974117629420963,False,2,True,False
rxn2131,rxn2131_ts_opt.xyz,0.0005509006488629659,True,1,True,True
rxn2149,rxn2149_ts_opt.xyz,0.00047471866665826717,True,1,True,True
rxn2176,rxn2176_ts_opt.xyz,0.0007330083621970923,True,1,True,True
rxn2179,rxn2179_ts_opt.xyz,0.0002282378274490123,True,1,True,True
rxn2195,rxn2195_ts_opt.xyz,0.0007916460799119282,True,1,True,True
rxn220,rxn220_ts_opt.xyz,0.00047769180143859526,True,1,True,True
rxn2212,rxn2212_ts_opt.xyz,0.0005753764041056418,True,1,True,True
rxn2226,rxn2226_ts_opt.xyz,0.001397871606669774,True,1,True,True
rxn2271,rxn2271_ts_opt.xyz,0.00034578305387452865,True,1,True,True
rxn2279,rxn2279_ts_opt.xyz,0.0010745845691120836,True,1,True,True
rxn2289,rxn2289_ts_opt.xyz,0.0006178436360466246,True,1,True,True
rxn2337,rxn2337_ts_opt.xyz,0.0004550404240029832,True,1,True,True
rxn233,rxn233_ts_opt.xyz,0.0003940210388103993,True,1,True,True
rxn2349,rxn2349_ts_opt.xyz,0.0030365088020923173,True,1,False,False
rxn2356,rxn2356_ts_opt.xyz,0.0014608244614741663,True,1,True,True
